ko	pathway	product	map
V1445439	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445441	K04077	Molecular chaperones	chaperonin GroEL	ko03110
V1445444	K12574	RNA degradation	ribonuclease J	map03018
V1445445	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445448	K00003	Glycine, serine and threonine metabolism	homoserine dehydrogenase	map00260
V1445456	K00689	Starch and sucrose metabolism	dextransucrase	map00500
V1445461	K03705	Transcription factors	heat-inducible transcriptional repressor	ko03000
V1445463	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445467	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445470	K00962	RNA degradation	polyribonucleotide nucleotidyltransferase	map03018
V1445482	K00059	Fatty acid biosynthesis	3-oxoacyl-[acyl-carrier protein] reductase	map00061
V1445487	K01091	Glyoxylate and dicarboxylate metabolism	phosphoglycolate phosphatase	map00630
V1445500	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445501	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445503	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445508	K00962	RNA degradation	polyribonucleotide nucleotidyltransferase	map03018
V1445515	K02032	Quorum sensing	peptide/nickel transport system ATP-binding protein	map02024
V1445528	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445534	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445539	K02907	Ribosome	large subunit ribosomal protein L30	map03010
V1445550	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445551	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445567	K01187	Starch and sucrose metabolism	alpha-glucosidase	map00500
V1445578	K13274	Chaperones and folding catalysts	cell wall-associated protease	ko03110
V1445613	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445631	K03043	RNA polymerase	DNA-directed RNA polymerase subunit beta	map03020
V1445679	K04043	Molecular chaperones	molecular chaperone DnaK	ko03110
V1445683	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445695	K03578	Messenger RNA biogenesis	ATP-dependent RNA helicase HrpA	ko03019
V1445700	K00969	Nicotinate and nicotinamide metabolism	nicotinate-nucleotide adenylyltransferase	map00760
V1445767	K00700	Starch and sucrose metabolism	1,4-alpha-glucan branching enzyme	map00500
V1445776	K02867	Ribosome	large subunit ribosomal protein L11	map03010
V1445801	K02035	Quorum sensing	peptide/nickel transport system substrate-binding protein	map02024
V1445880	K01421	General function prediction only	putative membrane protein	99996
V1445897	K02864	Ribosome	large subunit ribosomal protein L10	map03010
V1445912	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445913	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1445931	K02469	DNA replication	DNA gyrase subunit A	map03030
V1445936	K02356	Translation factors	elongation factor P	ko03012
V1445940	K11533	Fatty acid biosynthesis	fatty acid synthase, bacteria type	map00061
V1445943	K02519	Translation factors	translation initiation factor IF-2	ko03012
V1445985	K03294	Transport	basic amino acid/polyamine antiporter, APA family	99977
V1446040	K03980	Peptidoglycan biosynthesis and degradation proteins	putative peptidoglycan lipid II flippase	ko01011
V1446058	K01872	Aminoacyl-tRNA biosynthesis	alanyl-tRNA synthetase	map00970
V1446073	K02863	Ribosome	large subunit ribosomal protein L1	map03010
V1446074	K09686	NotAssigned	NotAssigned	NotAssigned
V1446079	K00134	Glycolysis / Gluconeogenesis	glyceraldehyde 3-phosphate dehydrogenase (phosphorylating)	map00010
V1446084	K08300	RNA degradation	ribonuclease E	map03018
V1446129	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1446154	K00688	Starch and sucrose metabolism	glycogen phosphorylase	map00500
V1446168	K00024	Citrate cycle (TCA cycle)	malate dehydrogenase	map00020
V1446216	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1446331	K01897	Fatty acid biosynthesis	long-chain acyl-CoA synthetase	map00061
V1446364	K03587	Peptidoglycan biosynthesis	cell division protein FtsI (penicillin-binding protein 3)	map00550
V1446365	K03153	Thiamine metabolism	glycine oxidase	map00730
V1446411	K01951	Purine metabolism	GMP synthase (glutamine-hydrolysing)	map00230
V1446413	K02026	Transporters	multiple sugar transport system permease protein	ko02000
V1446428	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1446443	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1446477	K03046	RNA polymerase	DNA-directed RNA polymerase subunit beta'	map03020
V1446560	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1446649	K02035	Quorum sensing	peptide/nickel transport system substrate-binding protein	map02024
V1446662	K03043	RNA polymerase	DNA-directed RNA polymerase subunit beta	map03020
V1446666	K02108	Oxidative phosphorylation	F-type H+-transporting ATPase subunit a	map00190
V1446667	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1446673	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1446674	K03070	Bacterial secretion system	preprotein translocase subunit SecA	map03070
V1446687	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1446708	K10243	NotAssigned	NotAssigned	NotAssigned
V1446718	K00088	Purine metabolism	IMP dehydrogenase	map00230
V1446767	K03281	Transporters	chloride channel protein, CIC family	ko02000
V1446788	K04072	Pyruvate metabolism	acetaldehyde dehydrogenase / alcohol dehydrogenase	map00620
V1446897	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1446913	K01785	Glycolysis / Gluconeogenesis	aldose 1-epimerase	map00010
V1446944	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1446946	K02035	Quorum sensing	peptide/nickel transport system substrate-binding protein	map02024
V1446956	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1446961	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1447040	K02864	Ribosome	large subunit ribosomal protein L10	map03010
V1447160	K02355	Translation factors	elongation factor G	ko03012
V1447216	K04077	Molecular chaperones	chaperonin GroEL	ko03110
V1447275	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1448075	K01872	Aminoacyl-tRNA biosynthesis	alanyl-tRNA synthetase	map00970
V1448171	K01834	Glycolysis / Gluconeogenesis	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	map00010
V1448266	K09687	NotAssigned	NotAssigned	NotAssigned
V1448268	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1448274	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1448276	K07273	Structural proteins	lysozyme	99992
V1448277	K06400	Cell growth	site-specific DNA recombinase	99978
V1448284	K01621	Pentose phosphate pathway	xylulose-5-phosphate/fructose-6-phosphate phosphoketolase	map00030
V1448291	K02032	Quorum sensing	peptide/nickel transport system ATP-binding protein	map02024
V1448293	K00948	Pentose phosphate pathway	ribose-phosphate pyrophosphokinase	map00030
V1448327	K02115	Oxidative phosphorylation	F-type H+-transporting ATPase subunit gamma	map00190
V1448344	K12574	RNA degradation	ribonuclease J	map03018
V1448351	K03710	Transcription factors	GntR family transcriptional regulator	ko03000
V1448368	K02035	Quorum sensing	peptide/nickel transport system substrate-binding protein	map02024
V1448503	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1448519	K00134	Glycolysis / Gluconeogenesis	glyceraldehyde 3-phosphate dehydrogenase (phosphorylating)	map00010
V1448552	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1448646	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1448816	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1448858	K02109	Oxidative phosphorylation	F-type H+-transporting ATPase subunit b	map00190
V1449006	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1449257	K07021	NotAssigned	NotAssigned	NotAssigned
V1449303	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1449463	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1449524	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1449531	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1449544	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1449843	K01866	Aminoacyl-tRNA biosynthesis	tyrosyl-tRNA synthetase	map00970
V1450022	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1450187	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1450188	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1450333	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1450467	K03260	Translation factors	translation initiation factor 4G	ko03012
V1450468	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1450902	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1450911	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1450945	K07487	Replication and repair	transposase	99976
V1452793	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1454428	K01443	Amino sugar and nucleotide sugar metabolism	N-acetylglucosamine-6-phosphate deacetylase	map00520
V1455144	K02314	DNA replication	replicative DNA helicase	map03030
V1456182	K02795	Phosphotransferase system (PTS)	mannose PTS system EIIC component	map02060
V1456494	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1458098	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1458100	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1458101	K03260	Translation factors	translation initiation factor 4G	ko03012
V1458103	K02340	DNA replication	DNA polymerase III subunit delta	map03030
V1458116	K01091	Glyoxylate and dicarboxylate metabolism	phosphoglycolate phosphatase	map00630
V1458192	K02033	Quorum sensing	peptide/nickel transport system permease protein	map02024
V1458211	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1458249	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1458262	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1458289	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1458290	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1458297	K04763	Chromosome and associated proteins	integrase/recombinase XerD	ko03036
V1458307	K01126	Glycerophospholipid metabolism	glycerophosphoryl diester phosphodiesterase	map00564
V1458311	K01929	Peptidoglycan biosynthesis	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase	map00550
V1458312	K02025	Transporters	multiple sugar transport system permease protein	ko02000
V1458337	K02071	ABC transporters	D-methionine transport system ATP-binding protein	map02010
V1458348	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1458358	K01889	Aminoacyl-tRNA biosynthesis	phenylalanyl-tRNA synthetase alpha chain	map00970
V1458359	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1458401	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1458403	K03466	Chromosome and associated proteins	DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family	ko03036
V1458404	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1458406	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1458407	K01185	Enzymes with EC numbers	lysozyme	99980
V1458410	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1458414	K07498	Replication and repair	putative transposase	99976
V1458416	K01990	Transporters	ABC-2 type transport system ATP-binding protein	ko02000
V1458418	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1458419	K02006	ABC transporters	cobalt/nickel transport system ATP-binding protein	map02010
V1458422	K01873	Aminoacyl-tRNA biosynthesis	valyl-tRNA synthetase	map00970
V1458439	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1458443	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1458455	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1458458	K03446	Transporters	MFS transporter, DHA2 family, multidrug resistance protein	ko02000
V1458459	K01361	Peptidases and inhibitors	lactocepin	ko01002
V1458460	K03177	Transfer RNA biogenesis	tRNA pseudouridine55 synthase	ko03016
V1458469	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1458477	K02959	Ribosome	small subunit ribosomal protein S16	map03010
V1458494	K01810	Glycolysis / Gluconeogenesis	glucose-6-phosphate isomerase	map00010
V1458501	K01256	Glutathione metabolism	aminopeptidase N	map00480
V1458502	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1458512	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1458517	K00616	Pentose phosphate pathway	transaldolase	map00030
V1458528	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1458534	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1458535	K01736	Phenylalanine, tyrosine and tryptophan biosynthesis	chorismate synthase	map00400
V1458538	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1458539	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1458543	K01885	Aminoacyl-tRNA biosynthesis	glutamyl-tRNA synthetase	map00970
V1458550	K01191	Fructose and mannose metabolism	alpha-mannosidase	map00051
V1458569	K04043	Molecular chaperones	molecular chaperone DnaK	ko03110
V1458573	K01185	Enzymes with EC numbers	lysozyme	99980
V1458590	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1458593	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1458596	K08300	RNA degradation	ribonuclease E	map03018
V1458604	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1458610	K01262	Peptidases and inhibitors	Xaa-Pro aminopeptidase	ko01002
V1458619	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1458635	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1458640	K03549	Transporters	KUP system potassium uptake protein	ko02000
V1458642	K09117	Function unknown	uncharacterized protein	99997
V1458644	K02115	Oxidative phosphorylation	F-type H+-transporting ATPase subunit gamma	map00190
V1458645	K02110	Oxidative phosphorylation	F-type H+-transporting ATPase subunit c	map00190
V1458651	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1458674	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1458685	K08372	Peptidases and inhibitors	putative serine protease PepD	ko01002
V1458686	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1458688	K02027	Transporters	multiple sugar transport system substrate-binding protein	ko02000
V1458689	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1458707	K01921	Peptidoglycan biosynthesis	D-alanine-D-alanine ligase	map00550
V1458713	K03043	RNA polymerase	DNA-directed RNA polymerase subunit beta	map03020
V1458714	K00936	Two-component system	two-component system, sensor histidine kinase PdtaS	map02020
V1458722	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1458724	K02954	Ribosome	small subunit ribosomal protein S14	map03010
V1458725	K02863	Ribosome	large subunit ribosomal protein L1	map03010
V1458732	K03111	DNA replication	single-strand DNA-binding protein	map03030
V1458734	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1458744	K06180	Ribosome biogenesis	23S rRNA pseudouridine1911/1915/1917 synthase	ko03009
V1458750	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1458760	K02068	Iron homeostasis	UDP-glucose/iron transport system ATP-binding protein	ko02000
V1458772	K00627	Citrate cycle (TCA cycle)	pyruvate dehydrogenase E2 component (dihydrolipoyllysine-residue acetyltransferase)	map00020
V1458775	K03703	Nucleotide excision repair	excinuclease ABC subunit C	map03420
V1458781	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1458783	K08963	Cysteine and methionine metabolism	methylthioribose-1-phosphate isomerase	map00270
V1458786	K07284	Peptidoglycan biosynthesis and degradation proteins	sortase A	ko01011
V1458788	K01887	Aminoacyl-tRNA biosynthesis	arginyl-tRNA synthetase	map00970
V1458793	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1458797	K02926	Ribosome	large subunit ribosomal protein L4	map03010
V1458798	K02906	Ribosome	large subunit ribosomal protein L3	map03010
V1458802	K03799	Peptidases and inhibitors	heat shock protein HtpX	ko01002
V1458813	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1458815	K08168	Antimicrobial resistance genes	MFS transporter, DHA2 family, metal-tetracycline-proton antiporter	ko01504
V1458818	K04078	Chaperones and folding catalysts	chaperonin GroES	ko03110
V1458825	K00962	RNA degradation	polyribonucleotide nucleotidyltransferase	map03018
V1458830	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1458831	K08659	Peptidases and inhibitors	dipeptidase	ko01002
V1458835	K08070	Enzymes with EC numbers	2-alkenal reductase	99980
V1458838	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1458842	K01689	Glycolysis / Gluconeogenesis	enolase 1/2/3	map00010
V1458844	K01926	Transcription factors	redox-sensing transcriptional repressor	ko03000
V1458886	K03727	Messenger RNA biogenesis	ATP-dependent RNA helicase HelY	ko03019
V1458894	K01872	Aminoacyl-tRNA biosynthesis	alanyl-tRNA synthetase	map00970
V1458902	K01834	Glycolysis / Gluconeogenesis	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	map00010
V1458912	K02033	Quorum sensing	peptide/nickel transport system permease protein	map02024
V1458916	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1458924	K01883	Aminoacyl-tRNA biosynthesis	cysteinyl-tRNA synthetase	map00970
V1458925	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1458935	K07461	Replication and repair	putative endonuclease	99976
V1458942	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1458957	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1458969	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1458982	K04072	Pyruvate metabolism	acetaldehyde dehydrogenase / alcohol dehydrogenase	map00620
V1458993	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1458994	K02935	Ribosome	large subunit ribosomal protein L7/L12	map03010
V1459006	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1459040	K02884	Ribosome	large subunit ribosomal protein L19	map03010
V1459076	K01000	Peptidoglycan biosynthesis	phospho-N-acetylmuramoyl-pentapeptide-transferase	map00550
V1459087	K00772	Cysteine and methionine metabolism	5'-methylthioadenosine phosphorylase	map00270
V1459120	K10008	ABC transporters	glutamate transport system ATP-binding protein	map02010
